BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1123;176;1283;143048;20713;False;39;23;7;1;0;8;537;39;0;0;18;0;0;21;0;1490783;485;1163;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1070;0;0;0;0;7;2;0;0;1;4;39;7;0;0;5;0;0;2;0;1490783;485;1163;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1836;174025;31238;False;32;18;6;0;0;8;960;32;0;0;15;2;0;15;0;1591640;418;867;0;0;1499;96;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;161;1395;0;0;0;0;8;2;0;0;1;5;101;8;0;0;6;2;0;0;0;1591640;418;867;0;0;214;14;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;264
BU01640704;BU01640704;Bedrijvenpark Westermaat-Zuidoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;152;943;0;122504;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476085;242;505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;35;2;0;18;47;833;102;0;0;63;0;0;39;0;476085;242;505;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;173;374;0;48597;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229030;349;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;30;1;0;15;50;134;96;0;0;63;0;0;33;0;229030;349;613;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;16;599;350;77602;False;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;175965;270;294;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98;18;1;0;7;72;233;98;0;0;80;0;0;18;0;175965;270;294;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267
BU01640800;BU01640800;Roershoek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;995;25;1094;138479;12860;False;43;26;8;0;0;9;443;43;0;0;19;0;0;24;0;1155983;436;1057;0;0;995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;907;0;0;0;0;7;2;0;0;1;3;34;7;0;0;4;0;0;3;0;1155983;436;1057;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268
BU01640801;BU01640801;Vossenbelt-Zuid;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;934;17;980;124143;5901;False;40;23;7;0;0;9;872;40;0;0;19;0;0;21;0;784874;390;801;0;0;934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;747;0;0;0;0;4;2;0;0;0;1;47;4;0;0;2;0;0;1;0;784874;390;801;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269
BU01640802;BU01640802;Vossenbelt-Noord;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;845;29;931;123421;11094;False;40;24;7;0;0;9;565;40;0;1;18;4;0;18;0;681197;331;732;0;0;761;85;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;39;632;0;0;0;0;8;3;0;0;1;4;54;8;0;1;6;4;0;-3;0;681197;331;732;0;0;26;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;270
BU01640803;BU01640803;Het Broek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;942;5;984;148465;5416;False;42;25;8;0;0;9;355;42;0;0;19;0;0;23;0;542818;248;552;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;640;0;0;0;0;3;1;0;0;1;1;14;3;0;0;2;0;0;1;0;542818;248;552;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271
BU01640804;BU01640804;Kristenbos;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;6;3;7;1073;32;False;62;43;9;1;0;9;6;62;0;0;26;0;0;36;0;19809;885;3171;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;0;0;0;1;2;0;3;0;0;3;0;0;1;0;19809;885;3171;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272
BU01640805;BU01640805;Dalmeden;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;231;1;232;42385;4;False;50;31;10;0;0;9;81;50;0;0;22;0;0;28;0;134026;227;580;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134026;227;580;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273
BU01640900;BU01640900;Beckum kern;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;210;15;306;31739;12432;False;36;23;6;0;0;7;286;36;0;0;16;0;0;20;0;359600;363;1177;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;177;0;0;0;0;26;8;1;0;7;10;87;26;0;0;14;0;0;12;0;359600;363;1177;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274
BU01640901;BU01640901;Verspreide huizen Slangenbeek;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;17;2;18;3058;16;False;63;43;10;1;0;9;7;63;0;0;26;0;0;37;0;32416;518;1893;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;32416;518;1893;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275
BU01640902;BU01640902;Stadspark Weusthag-Noord;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;14;8;35;2651;2726;False;25;17;4;0;0;4;9;25;0;0;10;0;0;15;0;31887;313;912;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;65;25;1;0;13;27;11;65;0;0;38;0;0;27;0;31887;313;912;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276
BU01640903;BU01640903;Stadspark Weusthag-Zuid;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;43;15;216;7239;22368;False;12;8;2;0;0;2;22;12;0;0;5;0;0;7;0;174834;314;813;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;52;19;1;0;8;24;42;52;0;0;32;0;0;20;0;174834;314;813;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277
BU01640904;BU01640904;Verspreide huizen Driene;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;98;7;104;16701;758;False;60;41;9;1;0;9;20;60;0;0;25;0;0;35;0;225470;570;2172;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;95;0;0;0;0;5;2;0;0;2;1;1;5;0;0;2;0;0;3;0;225470;570;2172;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278
BU01640905;BU01640905;Verspreide huizen Twekkelo;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;33;82;126;5760;12058;False;17;11;2;0;0;3;10;17;0;0;7;0;0;10;0;163496;354;1300;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31;0;0;0;0;50;19;2;0;17;12;16;50;0;0;23;0;0;27;0;163496;354;1300;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279
BU01640906;BU01640906;Verspreide huizen Oele;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;95;15;101;17255;654;False;62;43;9;1;0;9;6;62;0;0;25;0;0;36;0;241015;639;2409;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;90;0;0;0;0;4;1;0;0;1;2;0;4;0;0;2;0;0;2;0;241015;639;2409;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280
BU01640907;BU01640907;Verspreide huizen Woolde;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;23;3;33;4176;1210;False;46;32;7;1;0;7;5;46;0;0;19;0;0;27;0;45584;407;1411;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;24;13;1;0;2;9;2;24;0;0;14;0;0;11;0;45584;407;1411;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281
BU01640909;BU01640909;Verspreide huizen Beckum;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;153;20;164;27352;1341;False;59;40;9;1;0;9;8;59;0;0;24;0;0;34;0;330452;579;2023;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;139;0;0;0;0;6;1;0;0;1;3;0;6;0;0;4;0;0;2;0;330452;579;2023;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282
